request_id,data_point_name,domain,table_name,column_name,data_type,row_count,non_null_count,populated_pct,distinct_count,metadata_match_score,feasibility_score,rag_score,recommendation
CDP023,regimen_code,treatment,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP024,cycle_number,treatment,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP025,dose_mg,treatment,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP026,treatment_intent,treatment,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP028,max_toxicity_grade,treatment,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP029,lines_of_therapy,treatment,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP030,treatment_duration_days,treatment,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP031,progression_flag,outcomes,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP032,response_rate,outcomes,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP033,time_to_treatment_days,outcomes,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP035,one_year_survival_flag,outcomes,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP036,mortality_30d_post_treatment,outcomes,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP037,metastasis_at_progression,outcomes,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP038,real_world_pfs_days,outcomes,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP039,time_to_next_treatment_days,outcomes,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP040,hospital_admission_count_12m,utilization,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP041,ed_attendance_count_12m,utilization,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP042,outpatient_visit_count_12m,utilization,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP043,icu_admission_flag,utilization,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP044,length_of_stay_total_days,utilization,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP045,diagnostic_delay_days,care_pathway,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP046,treatment_delay_days,care_pathway,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP047,clinical_trial_enrollment_flag,care_pathway,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP048,molecular_test_performed_flag,biomarkers,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP049,pd_l1_expression_percent,biomarkers,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP050,egfr_mutation_status,biomarkers,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
